NAME,Latitude,Longitude
"Abington CDP, Massachusetts",42.1048228,-70.9453218
"Acushnet Center CDP, Massachusetts",41.6806593,-70.907816
"Adams CDP, Massachusetts",42.6269809,-73.1155216
"Agawam Town city, Massachusetts",42.066186,-72.6484627
"Amesbury Town city, Massachusetts",42.8579536,-70.9300921
"Amherst Center CDP, Massachusetts",42.3685658,-72.505714
"Andover CDP, Massachusetts",42.6562195,-71.13983635
"Arlington CDP, Massachusetts",42.4153739,-71.1564428
"Athol CDP, Massachusetts",42.5797194,-72.2159994
"Attleboro city, Massachusetts",41.9438129,-71.2806515
"Ayer CDP, Massachusetts",42.5595807,-71.5882561
"Baldwinville CDP, Massachusetts",42.6084207,-72.075913
"Barnstable Town city, Massachusetts",41.7001132,-70.2994666
"Barre CDP, Massachusetts",42.4203295,-72.106275
"Belchertown CDP, Massachusetts",42.2846395,-72.399595
"Bellingham CDP, Massachusetts",42.07825915,-71.47554272
"Belmont CDP, Massachusetts",42.3959296,-71.1786655
"Beverly city, Massachusetts",42.5584284,-70.8800491
"Blandford CDP, Massachusetts",42.186736,-72.9527068
"Bliss Corner CDP, Massachusetts",41.611771,-70.9383715
"Boston city, Massachusetts",42.3602534,-71.0582912
"Bourne CDP, Massachusetts",41.7412166,-70.5989196
"Boxford CDP, Massachusetts",42.6625764,-70.9977456
"Braintree Town city, Massachusetts",42.2064195,-71.005067
"Brewster CDP, Massachusetts",41.7601093,-70.082796
"Bridgewater Town city, Massachusetts",41.9903787,-70.9750426
"Brockton city, Massachusetts",42.0834335,-71.0183787
"Brookfield CDP, Massachusetts",42.1922769,-72.1030394
"Brookline CDP, Massachusetts",42.3317642,-71.1211635
"Burlington CDP, Massachusetts",42.5048167,-71.1956111
"Buzzards Bay CDP, Massachusetts",41.745383,-70.618087
"Cambridge city, Massachusetts",42.3750997,-71.1056157
"Chatham CDP, Massachusetts",41.6820563,-69.9597376
"Chelsea city, Massachusetts",42.3917638,-71.0328284
"Cheshire CDP, Massachusetts",42.5657102,-73.1500091
"Chester CDP, Massachusetts",42.2934466,-72.9390153
"Chicopee city, Massachusetts",42.1487691,-72.6071119
"Clinton CDP, Massachusetts",42.4141495,-71.6799426
"Cochituate CDP, Massachusetts",42.3209291,-71.364226
"Cordaville CDP, Massachusetts",42.2689838,-71.5239529
"Danvers CDP, Massachusetts",42.5750946,-70.9300507
"Dedham CDP, Massachusetts",42.2489143,-71.1755732
"Deerfield CDP, Massachusetts",42.5195925,-72.6103994
"Dennis CDP, Massachusetts",41.69855475,-70.1522407
"Dennis Port CDP, Massachusetts",41.658445,-70.1286293
"Devens CDP, Massachusetts",42.5389512,-71.6094356
"Dover CDP, Massachusetts",42.2459311,-71.2828342
"Duxbury CDP, Massachusetts",42.0417695,-70.672259
"East Brookfield CDP, Massachusetts",42.2029297,-72.0419627
"East Dennis CDP, Massachusetts",41.7426094,-70.1619638
"East Douglas CDP, Massachusetts",42.072319,-71.7134017
"East Falmouth CDP, Massachusetts",41.5784425,-70.5586401
"East Harwich CDP, Massachusetts",41.7001112,-70.0272389
"East Pepperell CDP, Massachusetts",42.6653673,-71.5731236
"East Sandwich CDP, Massachusetts",41.7417739,-70.4516929
"Easthampton Town city, Massachusetts",42.2689274,-72.6688036
"Edgartown CDP, Massachusetts",41.3890052,-70.5133599
"Essex CDP, Massachusetts",42.6320389,-70.7828255
"Everett city, Massachusetts",42.40843,-71.0536625
"Fall River city, Massachusetts",41.7010642,-71.1546367
"Falmouth CDP, Massachusetts",41.5514979,-70.6147519
"Fiskdale CDP, Massachusetts",42.1162056,-72.11341
"Fitchburg city, Massachusetts",42.5903661,-71.8119837
"Forestdale CDP, Massachusetts",41.6917744,-70.4994721
"Foxborough CDP, Massachusetts",42.0653768,-71.2478308
"Framingham city, Massachusetts",42.3095704,-71.4413097
"Franklin Town city, Massachusetts",42.0834313,-71.396725
"Gardner city, Massachusetts",42.5823564,-71.9831716
"Gloucester city, Massachusetts",42.6159286,-70.6619888
"Granby CDP, Massachusetts",42.2610187,-72.5041176
"Great Barrington CDP, Massachusetts",42.2103722,-73.3389121
"Green Harbor-Cedar Crest CDP, Massachusetts",42.074722,-70.658333
"Greenfield Town city, Massachusetts",42.6097476,-72.5979752
"Groton CDP, Massachusetts",42.6112242,-71.5745402
"Hanscom AFB CDP, Massachusetts",42.4585779,-71.2780469
"Hanson CDP, Massachusetts",42.0751013,-70.8800423
"Harwich Center CDP, Massachusetts",41.6862224,-70.0758508
"Harwich Port CDP, Massachusetts",41.6667784,-70.0786284
