NAME,english_spoken_in_home,non_english_spoken_in_home,% non_english_spoken_in_home
"Abington CDP, Massachusetts",13971,1637,10.49%
"Acushnet Center CDP, Massachusetts",2706,319,10.55%
"Adams CDP, Massachusetts",4924,208,4.05%
"Agawam Town city, Massachusetts",23501,3711,13.64%
"Amesbury Town city, Massachusetts",15934,741,4.44%
"Amherst Center CDP, Massachusetts",15820,4437,21.90%
"Andover CDP, Massachusetts",7157,1417,16.53%
"Arlington CDP, Massachusetts",33459,8777,20.78%
"Athol CDP, Massachusetts",7510,480,6.01%
"Attleboro city, Massachusetts",36033,5948,14.17%
"Ayer CDP, Massachusetts",2435,200,7.59%
"Baldwinville CDP, Massachusetts",1540,71,4.41%
"Barnstable Town city, Massachusetts",35141,7484,17.56%
"Barre CDP, Massachusetts",972,0,0.00%
"Belchertown CDP, Massachusetts",2415,296,10.92%
"Bellingham CDP, Massachusetts",3862,368,8.70%
"Belmont CDP, Massachusetts",17216,7270,29.69%
"Beverly city, Massachusetts",35665,4066,10.23%
"Blandford CDP, Massachusetts",275,3,1.08%
"Bliss Corner CDP, Massachusetts",3907,1079,21.64%
"Boston city, Massachusetts",404749,245145,37.72%
"Bourne CDP, Massachusetts",1303,38,2.83%
"Boxford CDP, Massachusetts",2378,160,6.30%
"Braintree Town city, Massachusetts",28166,7084,20.10%
"Brewster CDP, Massachusetts",1596,41,2.50%
"Bridgewater Town city, Massachusetts",23581,2414,9.29%
"Brockton city, Massachusetts",47557,41695,46.72%
"Brookfield CDP, Massachusetts",623,44,6.60%
"Brookline CDP, Massachusetts",37390,18910,33.59%
"Burlington CDP, Massachusetts",19231,6891,26.38%
"Buzzards Bay CDP, Massachusetts",3239,237,6.82%
"Cambridge city, Massachusetts",73841,37607,33.74%
"Chatham CDP, Massachusetts",1410,7,0.49%
"Chelsea city, Massachusetts",11015,25504,69.84%
"Cheshire CDP, Massachusetts",534,0,0.00%
"Chester CDP, Massachusetts",730,17,2.28%
"Chicopee city, Massachusetts",41436,11380,21.55%
"Clinton CDP, Massachusetts",4988,1741,25.87%
"Cochituate CDP, Massachusetts",5283,1486,21.95%
"Cordaville CDP, Massachusetts",2236,546,19.63%
"Danvers CDP, Massachusetts",23111,3124,11.91%
"Dedham CDP, Massachusetts",19636,3839,16.35%
"Deerfield CDP, Massachusetts",466,119,20.34%
"Dennis CDP, Massachusetts",2113,150,6.63%
"Dennis Port CDP, Massachusetts",2889,303,9.49%
"Devens CDP, Massachusetts",1371,494,26.49%
"Dover CDP, Massachusetts",2017,466,18.77%
"Duxbury CDP, Massachusetts",1476,78,5.02%
"East Brookfield CDP, Massachusetts",896,41,4.38%
"East Dennis CDP, Massachusetts",2412,140,5.49%
"East Douglas CDP, Massachusetts",2275,282,11.03%
"East Falmouth CDP, Massachusetts",5647,487,7.94%
"East Harwich CDP, Massachusetts",4273,450,9.53%
"East Pepperell CDP, Massachusetts",1595,88,5.23%
"East Sandwich CDP, Massachusetts",3230,117,3.50%
"Easthampton Town city, Massachusetts",14097,1210,7.90%
"Edgartown CDP, Massachusetts",484,24,4.72%
"Essex CDP, Massachusetts",1305,0,0.00%
"Everett city, Massachusetts",18257,25134,57.92%
"Fall River city, Massachusetts",52940,30260,36.37%
"Falmouth CDP, Massachusetts",3172,254,7.41%
"Fiskdale CDP, Massachusetts",2581,304,10.54%
"Fitchburg city, Massachusetts",27216,10950,28.69%
"Forestdale CDP, Massachusetts",3498,122,3.37%
"Foxborough CDP, Massachusetts",5243,756,12.60%
"Framingham city, Massachusetts",40915,27398,40.11%
"Franklin Town city, Massachusetts",29130,2451,7.76%
